province,city,lease_term,type,furnishing,availability_date,smoking
alberta,airdrie,long term,townhouse,unfurnished,immediate,non-smoking
alberta,aldersyde,negotiable,apartment,furnished,november 18,smoke free building
alberta,balzac,short term,main floor,negotiable,july 01,negotiable
alberta,banff,12 months,house,"unfurnished, negotiable",august 01,smoking allowed
alberta,beaumont,months,basement,,june 15,
alberta,beiseker,6 months,condo unit,,july 31,
alberta,black diamond,,room for rent,,june 30,
alberta,bonnyville,,duplex,,july 15,
alberta,brooks,,loft,,july 07,
alberta,bruderheim,,storage,,july 18,
alberta,calgary,,office space,,september 01,
alberta,camrose,,parking spot,,negotiable,
alberta,canmore,,vacation home,,no vacancy,
alberta,carmangay,,acreage,,august 15,
alberta,chestermere,,mobile,,august 07,
alberta,cochrane,,,,june 14,
alberta,cold lake,,,,july 04,
alberta,crossfield,,,,july 05,
alberta,de winton,,,,august 06,
alberta,drumheller,,,,july 11,
alberta,duchess,,,,june 19,
alberta,edmonton,,,,call for availability,
alberta,edson,,,,september 07,
alberta,fort mcmurray,,,,july 12,
alberta,fort saskatchewan,,,,june 17,
alberta,grande prairie,,,,october 03,
alberta,high river,,,,june 25,
alberta,innisfail,,,,june 18,
alberta,langdon,,,,august 23,
alberta,leduc,,,,july 23,
alberta,lethbridge,,,,july 02,
alberta,medicine hat,,,,october 01,
alberta,morinville,,,,july 08,
alberta,nisku,,,,june 16,
alberta,okotoks,,,,june 20,
alberta,olds,,,,june 21,
alberta,peace river,,,,june 22,
alberta,ponoka,,,,june 23,
alberta,priddis,,,,june 24,
alberta,red deer,,,,june 26,
alberta,rocky view,,,,june 28,
alberta,shaughnessy,,,,june 29,
alberta,sherwood park,,,,july 22,
alberta,slave lake,,,,november 01,
alberta,spruce grove,,,,july 03,
alberta,st. albert,,,,july 09,
alberta,st. paul,,,,july 06,
alberta,stony plain,,,,july 10,
alberta,strathmore,,,,july 16,
alberta,sylvan lake,,,,july 17,
alberta,wainwright,,,,july 20,
alberta,westlock,,,,july 27,
alberta,wetaskiwin,,,,july 30,
alberta,whitecourt,,,,august 02,
british columbia,abbotsford,,,,august 04,
british columbia,burnaby,,,,august 05,
british columbia,campbell river,,,,august 09,
british columbia,chilliwack,,,,august 10,
british columbia,colwood,,,,august 11,
british columbia,comox,,,,august 16,
british columbia,coquitlam,,,,august 20,
british columbia,courtenay,,,,august 22,
british columbia,cranbrook,,,,august 25,
british columbia,dawson creek,,,,august 26,
british columbia,delta,,,,august 29,
british columbia,duncan,,,,august 30,
british columbia,fort nelson,,,,august 31,
british columbia,fort st john,,,,september 02,
british columbia,golden,,,,september 03,
british columbia,horseshoe bay,,,,september 05,
british columbia,invermere,,,,september 08,
british columbia,kamloops,,,,september 15,
british columbia,kelowna,,,,september 30,
british columbia,kitimat,,,,october 04,
british columbia,ladysmith,,,,october 07,
british columbia,lake country,,,,october 11,
british columbia,langford,,,,october 16,
british columbia,langley,,,,october 19,
british columbia,maple ridge,,,,october 31,
british columbia,mission,,,,november 15,
british columbia,nanaimo,,,,december 01,
british columbia,new westminster,,,,december 30,
british columbia,north cowichan,,,,september 10,
british columbia,parksville,,,,june 27,
british columbia,penticton,,,,october 15,
british columbia,port alberni,,,,july 13,
british columbia,port coquitlam,,,,july 14,
british columbia,port moody,,,,august 14,
british columbia,prince george,,,,july 21,
british columbia,richmond,,,,july 28,
british columbia,saanich,,,,august 21,
british columbia,sooke,,,,march 15,
british columbia,squamish,,,,may 01,
british columbia,summerland,,,,august 13,
british columbia,surrey,,,,july 29,
british columbia,taylor,,,,july 26,
british columbia,vancouver,,,,august 03,
british columbia,vernon,,,,september 09,
british columbia,victoria,,,,august 12,
british columbia,wardner,,,,july 25,
british columbia,west kelowna,,,,august 17,
british columbia,west vancouver,,,,september 29,
british columbia,white rock,,,,november 24,
manitoba,beausejour,,,,may 08,
manitoba,blumenort,,,,july 24,
manitoba,brandon,,,,september 06,
manitoba,headingley,,,,august 08,
manitoba,ile des chênes,,,,october 02,
manitoba,niverville,,,,september 14,
manitoba,portage la prairie,,,,january 01,
manitoba,saint adolphe,,,,november 05,
manitoba,selkirk,,,,september 19,
manitoba,steinbach,,,,october 10,
manitoba,thompson,,,,november 07,
manitoba,west st. paul,,,,december 04,
manitoba,winnipeg,,,,december 10,
new brunswick,dieppe,,,,may 10,
new brunswick,moncton,,,,may 24,
new brunswick,saint john,,,,january 31,
newfoundland and labrador,st. john's,,,,march 31,
nova scotia,bedford,,,,january 05,
nova scotia,bridgewater,,,,may 05,
nova scotia,glace bay,,,,october 30,
nova scotia,halifax,,,,march 05,
ontario,ajax,,,,february 28,
ontario,amherstview,,,,november 29,
ontario,ancaster,,,,august 28,
ontario,aurora,,,,september 12,
ontario,ayr,,,,december 31,
ontario,barrie,,,,may 31,
ontario,belleville,,,,october 05,
ontario,bolton,,,,,
ontario,bowmanville,,,,,
ontario,bradford,,,,,
ontario,braeside,,,,,
ontario,brampton,,,,,
ontario,brantford,,,,,
ontario,breslau,,,,,
ontario,brockville,,,,,
ontario,burlington,,,,,
ontario,caledon,,,,,
ontario,cambridge,,,,,
